Ethnicity,Gender,Derived Residency,College,Headcounts,Academic_Yr,('Admitted')
African American,Female,CA Resident,Clg of Chemistry,,2014-15,(Admitted)
African American,Female,CA Resident,Clg of Chemistry,3,2015-16,(Admitted)
African American,Female,CA Resident,Clg of Chemistry,4,2016-17,(Admitted)
African American,Female,CA Resident,Clg of Chemistry,0,2017-18,(Admitted)
African American,Female,CA Resident,Clg of Engineering,11,1996-97,(Admitted)
African American,Female,CA Resident,Clg of Engineering,10,1997-98,(Admitted)
African American,Female,CA Resident,Clg of Engineering,4,1998-99,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,1999-00,(Admitted)
African American,Female,CA Resident,Clg of Engineering,4,2000-01,(Admitted)
African American,Female,CA Resident,Clg of Engineering,6,2001-02,(Admitted)
African American,Female,CA Resident,Clg of Engineering,2,2002-03,(Admitted)
African American,Female,CA Resident,Clg of Engineering,6,2003-04,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,2004-05,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,2005-06,(Admitted)
African American,Female,CA Resident,Clg of Engineering,6,2006-07,(Admitted)
African American,Female,CA Resident,Clg of Engineering,7,2007-08,(Admitted)
African American,Female,CA Resident,Clg of Engineering,4,2008-09,(Admitted)
African American,Female,CA Resident,Clg of Engineering,2,2009-10,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,2010-11,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,2011-12,(Admitted)
African American,Female,CA Resident,Clg of Engineering,5,2012-13,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,2013-14,(Admitted)
African American,Female,CA Resident,Clg of Engineering,3,2014-15,(Admitted)
African American,Female,CA Resident,Clg of Engineering,7,2015-16,(Admitted)
African American,Female,CA Resident,Clg of Engineering,8,2016-17,(Admitted)
African American,Female,CA Resident,Clg of Engineering,0,2017-18,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,5,1996-97,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,1,1997-98,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,1,1998-99,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,,1999-00,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,2,2000-01,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,3,2001-02,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,2,2002-03,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,4,2003-04,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,,2004-05,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,4,2005-06,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,2,2006-07,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,2,2007-08,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,2,2008-09,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,3,2009-10,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,2,2010-11,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,4,2011-12,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,5,2012-13,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,1,2013-14,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,1,2014-15,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,4,2015-16,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,5,2016-17,(Admitted)
African American,Female,CA Resident,Clg of Environmental Design,0,2017-18,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,366,1996-97,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,337,1997-98,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,165,1998-99,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,199,1999-00,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,223,2000-01,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,227,2001-02,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,224,2002-03,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,211,2003-04,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,170,2004-05,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,201,2005-06,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,220,2006-07,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,212,2007-08,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,230,2008-09,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,223,2009-10,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,210,2010-11,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,219,2011-12,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,203,2012-13,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,203,2013-14,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,189,2014-15,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,196,2015-16,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,221,2016-17,(Admitted)
African American,Female,CA Resident,Clg of Letters & Science,0,2017-18,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,6,1996-97,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,15,1997-98,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,4,1998-99,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,15,1999-00,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,18,2000-01,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,11,2001-02,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,7,2002-03,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,14,2003-04,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,11,2004-05,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,11,2005-06,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,17,2006-07,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,16,2007-08,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,13,2008-09,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,8,2009-10,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,17,2010-11,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,17,2011-12,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,13,2012-13,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,16,2013-14,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,14,2014-15,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,17,2015-16,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,17,2016-17,(Admitted)
African American,Female,CA Resident,Clg of Natural Resources,0,2017-18,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,1996-97,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,1997-98,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,1998-99,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,1999-00,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2000-01,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2001-02,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2002-03,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,2003-04,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,2,2004-05,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2005-06,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2006-07,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2007-08,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2008-09,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2009-10,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,2010-11,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,2011-12,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,2012-13,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,,2013-14,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,1,2014-15,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,3,2015-16,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,2,2016-17,(Admitted)
African American,Female,Out of State Domestic,Clg of Chemistry,0,2017-18,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,2,1996-97,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,2,1997-98,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,1998-99,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,,1999-00,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,,2000-01,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2001-02,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2002-03,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2003-04,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2004-05,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,,2005-06,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2006-07,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,,2007-08,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2008-09,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,,2009-10,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,3,2010-11,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,5,2011-12,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,2,2012-13,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,1,2013-14,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,3,2014-15,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,3,2015-16,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,3,2016-17,(Admitted)
African American,Female,Out of State Domestic,Clg of Engineering,0,2017-18,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,1996-97,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,1997-98,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,1998-99,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,1999-00,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2002-03,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2004-05,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2005-06,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,2006-07,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2007-08,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2008-09,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2009-10,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2010-11,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,,2011-12,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,2012-13,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,2013-14,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,2014-15,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,1,2015-16,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,2,2016-17,(Admitted)
African American,Female,Out of State Domestic,Clg of Environmental Design,0,2017-18,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,16,1996-97,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,10,1997-98,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,7,1998-99,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,6,1999-00,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,12,2000-01,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,6,2001-02,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,8,2002-03,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,10,2003-04,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,12,2004-05,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,5,2005-06,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,3,2006-07,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,4,2007-08,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,6,2008-09,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,5,2009-10,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,25,2010-11,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,40,2011-12,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,27,2012-13,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,40,2013-14,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,59,2014-15,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,34,2015-16,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,33,2016-17,(Admitted)
African American,Female,Out of State Domestic,Clg of Letters & Science,0,2017-18,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,1,1996-97,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,1997-98,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,1998-99,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,1999-00,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2001-02,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2002-03,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2003-04,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2004-05,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,2,2005-06,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2006-07,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2007-08,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2008-09,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2009-10,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,,2010-11,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,1,2011-12,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,6,2012-13,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,5,2013-14,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,9,2014-15,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,5,2015-16,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,2,2016-17,(Admitted)
African American,Female,Out of State Domestic,Clg of Natural Resources,0,2017-18,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,5,1996-97,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,6,1997-98,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,3,1998-99,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,12,1999-00,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,2,2000-01,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,6,2001-02,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,3,2002-03,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,1,2003-04,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,1,2004-05,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,2,2005-06,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,,2006-07,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,3,2007-08,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,3,2008-09,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,1,2009-10,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,1,2010-11,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,3,2011-12,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,,2012-13,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,,2013-14,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,4,2014-15,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,2,2015-16,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,2,2016-17,(Admitted)
African American,Male,CA Resident,Clg of Chemistry,0,2017-18,(Admitted)
African American,Male,CA Resident,Clg of Engineering,22,1996-97,(Admitted)
African American,Male,CA Resident,Clg of Engineering,14,1997-98,(Admitted)
African American,Male,CA Resident,Clg of Engineering,11,1998-99,(Admitted)
African American,Male,CA Resident,Clg of Engineering,12,1999-00,(Admitted)
African American,Male,CA Resident,Clg of Engineering,7,2000-01,(Admitted)
African American,Male,CA Resident,Clg of Engineering,9,2001-02,(Admitted)
African American,Male,CA Resident,Clg of Engineering,8,2002-03,(Admitted)
African American,Male,CA Resident,Clg of Engineering,10,2003-04,(Admitted)
African American,Male,CA Resident,Clg of Engineering,3,2004-05,(Admitted)
African American,Male,CA Resident,Clg of Engineering,15,2005-06,(Admitted)
African American,Male,CA Resident,Clg of Engineering,7,2006-07,(Admitted)
African American,Male,CA Resident,Clg of Engineering,11,2007-08,(Admitted)
African American,Male,CA Resident,Clg of Engineering,13,2008-09,(Admitted)
African American,Male,CA Resident,Clg of Engineering,13,2009-10,(Admitted)
African American,Male,CA Resident,Clg of Engineering,7,2010-11,(Admitted)
African American,Male,CA Resident,Clg of Engineering,7,2011-12,(Admitted)
African American,Male,CA Resident,Clg of Engineering,7,2012-13,(Admitted)
African American,Male,CA Resident,Clg of Engineering,6,2013-14,(Admitted)
African American,Male,CA Resident,Clg of Engineering,10,2014-15,(Admitted)
African American,Male,CA Resident,Clg of Engineering,17,2015-16,(Admitted)
African American,Male,CA Resident,Clg of Engineering,8,2016-17,(Admitted)
African American,Male,CA Resident,Clg of Engineering,0,2017-18,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,4,1996-97,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,3,1997-98,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,1,1998-99,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,1999-00,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,2000-01,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,2001-02,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,1,2002-03,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,,2003-04,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,2004-05,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,3,2005-06,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,2006-07,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,1,2007-08,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,,2008-09,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,3,2009-10,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,3,2010-11,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,1,2011-12,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,1,2012-13,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,1,2013-14,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,2014-15,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,5,2015-16,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,2,2016-17,(Admitted)
African American,Male,CA Resident,Clg of Environmental Design,0,2017-18,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,186,1996-97,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,178,1997-98,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,93,1998-99,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,91,1999-00,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,109,2000-01,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,96,2001-02,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,112,2002-03,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,105,2003-04,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,75,2004-05,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,83,2005-06,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,87,2006-07,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,103,2007-08,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,112,2008-09,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,110,2009-10,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,114,2010-11,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,90,2011-12,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,113,2012-13,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,102,2013-14,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,77,2014-15,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,86,2015-16,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,122,2016-17,(Admitted)
African American,Male,CA Resident,Clg of Letters & Science,0,2017-18,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,5,1996-97,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,6,1997-98,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,5,1998-99,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,3,1999-00,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,4,2000-01,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,3,2001-02,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,3,2002-03,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,3,2003-04,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,6,2004-05,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,5,2005-06,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,7,2006-07,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,5,2007-08,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,8,2008-09,(Admitted)
African American,Male,CA Resident,Clg of Natural Resources,12,2009-10,(Admitted)
